City,Latitude,Longitude,Country,Temperate (°C),Min Temp(°C),Max Temp(°C),Humidity,Cloudiness,windspeed
Ushuaia,-54.8,-68.3,AR,0.0,0.0,0.0,90,40,4.1
Rikitea,-23.12,-134.97,PF,22.66,22.66,22.66,84,100,7.15
Mataura,-46.19,168.86,NZ,6.49,6.49,6.49,90,93,1.49
Srīvardhan,18.03,73.02,IN,25.67,25.67,25.67,91,100,1.81
Whitehorse,60.72,-135.05,CA,12.46,9.44,14.0,54,75,4.1
Adré,13.47,22.2,TD,25.91,25.91,25.91,62,46,3.36
Yangi Marg`ilon,40.43,71.72,UZ,31.0,31.0,31.0,27,45,3.1
Tiksi,71.69,128.87,RU,5.98,5.98,5.98,93,100,3.25
Sumenep,-7.02,113.87,ID,30.07,30.07,30.07,64,18,6.87
Rupert,42.62,-113.68,US,18.0,18.0,18.0,23,1,5.7
Saint Anthony,45.02,-93.22,US,25.53,25.0,26.11,61,75,6.7
Hilo,19.73,-155.09,US,20.07,9.44,26.0,69,90,1.5
Talnakh,69.49,88.4,RU,13.0,13.0,13.0,76,75,6.0
Hermanus,-34.42,19.23,ZA,7.78,7.78,7.78,85,90,2.68
Haines Junction,60.75,-137.51,CA,10.25,10.25,10.25,67,100,1.66
São Filipe,14.9,-24.5,CV,25.04,25.04,25.04,85,48,0.31
Sydney,-33.87,151.21,AU,14.41,13.89,15.56,77,40,13.4
Port Alfred,-33.59,26.89,ZA,12.36,12.36,12.36,54,45,15.61
Busselton,-33.65,115.33,AU,14.07,11.67,16.11,45,56,7.63
Tezu,27.92,96.17,IN,30.64,30.64,30.64,72,56,2.1
Bambous Virieux,-20.34,57.76,MU,24.74,24.44,25.0,69,40,9.3
Qaanaaq,77.48,-69.36,GL,4.44,4.44,4.44,75,15,1.41
Jinka,5.65,36.65,ET,20.08,20.08,20.08,69,75,2.25
Puerto Ayora,-0.74,-90.35,EC,19.44,19.44,19.44,93,16,3.08
Ostrovnoy,68.05,39.51,RU,10.67,10.67,10.67,68,43,3.45
Ponta do Sol,32.67,-17.1,PT,19.0,17.78,20.56,76,3,1.6
Beyneu,45.32,55.2,KZ,38.83,38.83,38.83,15,0,6.29
Mchinji,-13.8,32.88,MW,16.81,16.81,16.81,62,1,1.51
Flinders,-34.58,150.86,AU,14.21,13.89,14.44,78,82,3.58
Denpasar,-8.65,115.22,ID,28.0,28.0,28.0,88,20,9.3
Albany,42.6,-73.97,US,20.01,19.44,20.56,81,21,2.76
Bandarbeyla,9.49,50.81,SO,29.72,29.72,29.72,51,97,12.2
Lebu,-37.62,-73.65,CL,8.27,8.27,8.27,77,1,1.57
Bluff,-46.6,168.33,NZ,8.93,8.93,8.93,76,90,4.75
Yellowknife,62.46,-114.35,CA,13.63,12.78,14.0,93,90,8.7
Shunyi,40.12,116.65,CN,35.73,33.0,38.33,43,20,3.0
New Norfolk,-42.78,147.06,AU,8.5,6.67,10.0,79,8,1.07
Genhe,50.78,121.52,CN,30.75,30.75,30.75,32,89,2.27
Punta Arenas,-53.15,-70.92,CL,0.77,0.56,1.0,88,99,2.1
Abhā,18.22,42.51,SA,24.0,24.0,24.0,29,7,2.6
Chapais,49.78,-74.85,CA,14.0,14.0,14.0,82,1,2.1
Clyde River,70.47,-68.59,CA,11.0,11.0,11.0,62,90,1.0
Alice Springs,-23.7,133.88,AU,18.0,18.0,18.0,25,0,5.1
Molde,62.74,7.16,NO,12.0,12.0,12.0,76,75,2.6
