City,Latitude,Longitude,Country,Temperate (°C),Humidity (%),Cloudiness (%),windspeed (m/s)
Nishihara,26.18,127.76,JP,26.38,94,75,5.7
Rocha,-34.48,-54.33,UY,6.36,93,5,2.39
Rikitea,-23.12,-134.97,PF,22.95,82,100,1.17
Ushuaia,-54.8,-68.3,AR,-4.0,85,0,2.1
Codrington,-38.27,141.97,AU,8.95,86,0,3.71
Hay River,60.82,-115.8,CA,13.0,93,75,3.1
Vrangel',42.73,133.08,RU,20.06,81,9,3.52
Albany,42.6,-73.97,US,16.32,91,99,3.44
Jamestown,42.1,-79.24,US,20.89,94,75,4.1
Vila Franca do Campo,37.72,-25.43,PT,19.0,88,75,4.1
Mataura,-46.19,168.86,NZ,0.45,95,100,0.62
Cape Town,-33.93,18.42,ZA,13.78,47,0,1.5
Airai,-8.93,125.41,TL,19.61,85,76,1.15
Chimoio,-19.12,33.48,MZ,15.96,62,75,5.44
São Félix do Xingu,-6.64,-51.99,BR,20.8,76,1,0.28
Lebu,-37.62,-73.65,CL,11.63,96,100,9.76
Cesvaine,56.97,26.32,LV,21.42,46,2,2.69
Dikson,73.51,80.55,RU,5.62,91,62,4.22
Geraldton,-28.77,114.6,AU,17.0,63,40,7.2
Dubbo,-32.25,148.62,AU,13.0,66,0,2.1
Castro,-24.79,-50.01,BR,12.97,92,90,2.58
Beringovskiy,63.05,179.32,RU,11.19,82,99,2.36
Puerto Madryn,-42.77,-65.04,AR,8.69,87,100,6.88
Bethel,41.37,-73.41,US,17.75,77,90,1.5
Tasiilaq,65.61,-37.64,GL,6.0,81,41,3.6
Kargasok,59.06,80.86,RU,22.24,44,0,3.34
Paragominas,-2.97,-47.48,BR,20.22,97,2,0.29
Hermanus,-34.42,19.23,ZA,10.56,78,0,1.34
Hofn,64.25,-15.21,IS,11.96,70,51,4.54
Prince Rupert,54.32,-130.32,CA,12.0,93,90,0.68
Punta Arenas,-53.15,-70.92,CL,-4.22,92,21,1.5
Vestmannaeyjar,63.44,-20.27,IS,10.0,76,40,11.3
Vaini,-21.2,-175.2,TO,24.0,88,75,2.6
Mount Gambier,-37.83,140.77,AU,13.0,71,14,4.6
Krasnyy Oktyabr',56.12,38.88,RU,16.26,80,91,3.53
Vytegra,61.01,36.45,RU,13.29,88,100,3.38
Yellowknife,62.46,-114.35,CA,12.63,87,75,1.5
Worland,44.02,-107.96,US,22.19,26,1,2.1
Tarko-Sale,64.92,77.78,RU,17.78,56,96,5.53
Butaritari,3.07,172.79,KI,28.34,77,48,5.62
Pauini,-7.71,-66.98,BR,21.23,87,0,0.81
Novoagansk,61.94,76.66,RU,20.6,40,6,2.52
Bealanana,-14.55,48.73,MG,16.61,76,94,6.19
Anadyr,64.75,177.48,RU,13.94,82,82,3.0
Carnarvon,-24.87,113.63,AU,20.0,64,75,8.2
Norman Wells,65.28,-126.83,CA,15.0,93,75,2.6
Hoquiam,46.98,-123.89,US,15.45,87,90,3.6
Saint-Philippe,-21.36,55.77,RE,20.82,83,95,9.3
Itoman,26.12,127.67,JP,26.2,94,75,5.7
Nanortalik,60.14,-45.24,GL,8.24,64,4,0.28
Santa Pola,38.19,-0.57,ES,24.81,69,20,1.0
Heishan,41.69,122.11,CN,31.68,45,100,8.38
Fortuna,40.6,-124.16,US,13.01,93,90,2.1
Sinnamary,5.38,-52.95,GF,24.58,89,83,3.45
Brae,60.4,-1.35,GB,12.0,87,40,7.7
Chui,-33.7,-53.46,UY,7.94,94,0,1.78
Muros,42.78,-9.06,ES,21.11,56,0,4.92
Destin,30.39,-86.5,US,25.84,83,1,1.5
Biskamzha,53.45,89.53,RU,26.05,41,3,3.25
Upernavik,72.79,-56.15,GL,6.99,66,95,1.94
Lüderitz,-26.65,15.16,NA,21.23,22,0,10.75
Mar del Plata,-38.0,-57.56,AR,5.76,93,11,2.6
Santa Vitória do Palmar,-33.52,-53.37,BR,8.58,94,0,1.78
Gamba,-2.65,10.0,GA,24.08,79,60,1.36
Clyde River,70.47,-68.59,CA,7.0,81,1,7.7
Kalabo,-14.97,22.68,ZM,16.01,45,0,6.27
Paamiut,61.99,-49.67,GL,7.61,68,0,2.91
Bluff,-46.6,168.33,NZ,5.27,78,35,1.44
Chapais,49.78,-74.85,CA,18.0,100,90,2.1
Ribeira Grande,38.52,-28.7,PT,20.0,77,75,3.6
Port-Gentil,-0.72,8.78,GA,25.0,88,90,3.43
Upington,-28.45,21.26,ZA,10.0,31,0,0.5
Sotouboua,8.57,0.98,TG,22.1,92,96,1.15
Libenge,3.65,18.63,CD,21.52,96,100,2.85
Pevek,69.7,170.31,RU,5.06,97,90,3.73
Sinfra,6.62,-5.92,CI,22.0,100,90,2.1
Bubaque,11.28,-15.83,GW,24.78,93,100,5.04
Kinangan,6.3,125.58,PH,28.82,65,38,1.37
Hailar,49.2,119.7,CN,27.23,52,96,5.3
Cabo San Lucas,22.89,-109.91,MX,26.67,62,84,4.25
Flinders,-34.58,150.86,AU,13.65,75,67,3.13
Faanui,-16.48,-151.75,PF,25.5,76,2,3.39
Cayenne,4.93,-52.33,GF,23.0,100,81,3.39
Pisco,-13.7,-76.22,PE,15.81,82,90,1.0
Kapoeta,4.77,33.59,SS,27.83,50,100,7.18
Avarua,-21.21,-159.78,CK,21.0,73,28,2.6
New Norfolk,-42.78,147.06,AU,5.45,82,6,0.29
Busselton,-33.65,115.33,AU,12.28,45,0,6.37
Adré,13.47,22.2,TD,26.87,60,96,4.13
Bredasdorp,-34.53,20.04,ZA,12.0,62,0,1.5
Dodge City,37.75,-100.02,US,24.18,88,1,6.7
Sosnovo-Ozerskoye,52.52,111.54,RU,19.5,45,62,5.95
Northam,51.03,-4.22,GB,15.74,94,100,4.02
Fort Frances,48.6,-93.4,CA,11.05,87,1,2.37
Hokitika,-42.72,170.97,NZ,7.54,60,88,2.53
Manokwari,-0.87,134.08,ID,28.76,66,16,1.57
Hilo,19.73,-155.09,US,23.18,78,90,2.1
Barrow,71.29,-156.79,US,2.0,74,90,6.7
Atuona,-9.8,-139.03,PF,26.41,75,3,7.19
Bambous Virieux,-20.34,57.76,MU,24.74,73,75,6.2
Saskylakh,71.92,114.08,RU,10.27,83,100,6.28
Port Lincoln,-34.73,135.87,AU,15.58,59,99,3.31
Ponta do Sol,32.67,-17.1,PT,18.59,82,20,2.1
Plettenberg Bay,-34.05,23.37,ZA,18.92,27,0,1.25
Port Alfred,-33.59,26.89,ZA,19.25,26,0,2.92
San Quintín,30.48,-115.95,MX,18.92,88,2,4.08
Ulladulla,-35.35,150.47,AU,11.27,71,90,4.6
Hirara,24.8,125.28,JP,26.59,94,75,3.1
Avera,33.19,-82.53,US,24.28,81,1,1.99
Røros,62.57,11.38,NO,17.0,63,40,4.6
Saint-François,46.42,3.91,FR,17.61,77,90,2.6
Kapaa,22.08,-159.32,US,24.18,83,40,4.6
Berlevåg,70.86,29.09,NO,13.0,82,88,4.6
Svetlaya,46.54,138.33,RU,19.05,92,66,1.82
San Carlos,9.66,-68.58,VE,21.84,92,50,1.07
Coahuayana Viejo,18.73,-103.68,MX,25.64,87,93,1.06
Newcastle,-32.93,151.78,AU,12.83,100,90,4.6
Laguna,38.42,-121.42,US,17.96,72,1,5.1
Roald,62.58,6.13,NO,15.91,82,100,3.1
Puerto Ayora,-0.74,-90.35,EC,18.89,93,31,2.24
Köse,40.21,39.65,TR,27.0,32,0,2.1
Marystown,47.17,-55.15,CA,8.6,75,4,4.96
Nikolskoye,59.7,30.79,RU,18.73,55,0,5.0
Kirakira,-10.45,161.92,SB,26.02,85,100,4.44
Tiksi,71.69,128.87,RU,5.42,77,100,10.1
Dunedin,-45.87,170.5,NZ,5.8,79,97,0.89
Bathsheba,13.22,-59.52,BB,28.0,74,40,6.2
Randolph,35.7,-79.82,US,23.09,88,1,1.91
